#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.320339E-01   0.311783E+07   0.307399E+07   0.657738E+03   0.657734E+03   0.533863E+06   0.310011E+07   0.311096E+07   0.310011E+07  -0.243343E+00   0.300459E+07   0.300348E+07   0.120889E+02
   0.331197E-01   0.302427E+07   0.298000E+07   0.596763E+03   0.596759E+03   0.497780E+06   0.300672E+07   0.301734E+07   0.300672E+07  -0.236012E+00   0.291413E+07   0.291302E+07   0.117259E+02
   0.342423E-01   0.293188E+07   0.288735E+07   0.541143E+03   0.541139E+03   0.463641E+06   0.291454E+07   0.292491E+07   0.291454E+07  -0.228777E+00   0.282483E+07   0.282372E+07   0.113237E+02
   0.354030E-01   0.284097E+07   0.279636E+07   0.490477E+03   0.490473E+03   0.431395E+06   0.282386E+07   0.283398E+07   0.282386E+07  -0.221659E+00   0.273698E+07   0.273588E+07   0.108832E+02
   0.366030E-01   0.275182E+07   0.270733E+07   0.444388E+03   0.444385E+03   0.401064E+06   0.273498E+07   0.274485E+07   0.273498E+07  -0.214682E+00   0.265087E+07   0.264978E+07   0.104056E+02
   0.378436E-01   0.266435E+07   0.262021E+07   0.402467E+03   0.402465E+03   0.372548E+06   0.264782E+07   0.265744E+07   0.264782E+07  -0.207840E+00   0.256642E+07   0.256535E+07   0.989351E+01
   0.391263E-01   0.257893E+07   0.253534E+07   0.364402E+03   0.364399E+03   0.345772E+06   0.256273E+07   0.257211E+07   0.256273E+07  -0.201161E+00   0.248398E+07   0.248294E+07   0.934952E+01
   0.404525E-01   0.249613E+07   0.245333E+07   0.329926E+03   0.329923E+03   0.320770E+06   0.248029E+07   0.248943E+07   0.248029E+07  -0.194690E+00   0.240410E+07   0.240309E+07   0.877692E+01
   0.418237E-01   0.241625E+07   0.237448E+07   0.298751E+03   0.298748E+03   0.297494E+06   0.240082E+07   0.240971E+07   0.240082E+07  -0.188452E+00   0.232710E+07   0.232612E+07   0.817999E+01
   0.432413E-01   0.233957E+07   0.229906E+07   0.270601E+03   0.270599E+03   0.275836E+06   0.232456E+07   0.233323E+07   0.232456E+07  -0.182466E+00   0.225321E+07   0.225227E+07   0.756387E+01
