#           k/h    P           
   0.487680E+03   0.666560E-06
   0.497532E+03   0.625665E-06
   0.507582E+03   0.587205E-06
   0.517837E+03   0.551043E-06
   0.528297E+03   0.517051E-06
   0.538970E+03   0.485105E-06
   0.549857E+03   0.455090E-06
   0.560966E+03   0.426893E-06
   0.572298E+03   0.400410E-06
   0.583859E+03   0.375543E-06
   0.595653E+03   0.352196E-06
   0.607687E+03   0.330281E-06
   0.619962E+03   0.309713E-06
   0.632487E+03   0.290413E-06
   0.645264E+03   0.272306E-06
   0.658299E+03   0.255319E-06
   0.671597E+03   0.239386E-06
   0.685165E+03   0.224444E-06
   0.699006E+03   0.210431E-06
   0.713127E+03   0.197293E-06
   0.727533E+03   0.184975E-06
   0.742230E+03   0.173427E-06
   0.757224E+03   0.162603E-06
   0.772521E+03   0.152458E-06
   0.788127E+03   0.142949E-06
   0.804048E+03   0.134038E-06
   0.820291E+03   0.125686E-06
   0.836862E+03   0.117859E-06
   0.853768E+03   0.110522E-06
   0.871015E+03   0.103646E-06
   0.888611E+03   0.972015E-07
   0.906563E+03   0.911608E-07
   0.924875E+03   0.854988E-07
   0.943559E+03   0.801916E-07
   0.962621E+03   0.752167E-07
   0.982068E+03   0.705534E-07
   0.100191E+04   0.661818E-07
   0.102215E+04   0.620832E-07
   0.104279E+04   0.582403E-07
   0.106386E+04   0.546368E-07
   0.108535E+04   0.512574E-07
   0.110728E+04   0.480881E-07
   0.112965E+04   0.451155E-07
   0.115247E+04   0.423271E-07
   0.117575E+04   0.397115E-07
   0.119950E+04   0.372577E-07
