#bias_lya*(1+beta_lya) beta_lya ap at alpha SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim kappa0 Lpar_auto Lper_auto bias_Si3 beta_Si3 bias_Si2a beta_Si2a bias_Si2b beta_Si2b bias_Si2c beta_Si2c bias_CIVa beta_CIVa chi2
-0.32482350358 1.6560652717 0.85 1.38 2.9 3.26 1.966 1.0 -0.0281299542201 0.666846558769 24.1986421242 0.104993963225 -0.666666666667 300.0 4.0 4.0 -0.00339889382581 0.5 -0.00437515599549 0.5 -0.0034673705554 0.5 -0.00175000572297 0.5 -0.0199992614955 0.5 1577.76757295
-0.324888118805 1.65468066921 0.85 1.42 2.9 3.26 1.966 1.0 -0.0281604407135 0.666517203978 24.201892224 0.106021603393 -0.666666666667 300.0 4.0 4.0 -0.00340160866446 0.5 -0.00437295787265 0.5 -0.0034664775111 0.5 -0.00174973859483 0.5 -0.0199999290147 0.5 1576.94214059
-0.324929347301 1.65364249681 0.85 1.46 2.9 3.26 1.966 1.0 -0.0281873863424 0.666919138763 24.2041235927 0.107053718164 -0.666666666667 300.0 4.0 4.0 -0.00339740839904 0.5 -0.00437215063066 0.5 -0.00346975538338 0.5 -0.00174652981537 0.5 -0.0199998871661 0.5 1576.4421053
-0.324987328013 1.65274361476 0.85 1.5 2.9 3.26 1.966 1.0 -0.0281946973585 0.665383778202 24.2046199533 0.107702028313 -0.666666666667 300.0 4.0 4.0 -0.00340552735794 0.5 -0.00436646604515 0.5 -0.00346294104497 0.5 -0.00175211580713 0.5 -0.019999999277 0.5 1576.3205742
-0.323432895208 1.67915549203 0.875 0.7 2.9 3.26 1.966 1.0 -0.0274223762568 0.664509381164 24.1607637835 0.0825181831056 -0.666666666667 300.0 4.0 4.0 -0.00344216399808 0.5 -0.00440562190021 0.5 -0.00346391124404 0.5 -0.00160361866018 0.5 -0.019999942262 0.5 1610.6537442
-0.323555405388 1.67582815879 0.875 0.74 2.9 3.26 1.966 1.0 -0.0276145048521 0.664229491326 24.2020950931 0.0850517392739 -0.666666666667 300.0 4.0 4.0 -0.00339682855575 0.5 -0.00440857514381 0.5 -0.0034717684918 0.5 -0.0016065179921 0.5 -0.0199999622101 0.5 1605.79382155
-0.323687267606 1.67393715239 0.875 0.78 2.9 3.26 1.966 1.0 -0.0277692095962 0.663954920075 24.238497139 0.0870677924133 -0.666666666667 300.0 4.0 4.0 -0.00335767353607 0.5 -0.0044116973654 0.5 -0.00347933992114 0.5 -0.00160359945576 0.5 -0.0199999996333 0.5 1601.32055783
-0.323791344069 1.67219357656 0.875 0.82 2.9 3.26 1.966 1.0 -0.0278851758913 0.664511237677 24.2588003191 0.0889208310872 -0.666666666667 300.0 4.0 4.0 -0.0033340277195 0.5 -0.00441353618694 0.5 -0.00348483359988 0.5 -0.00160403063355 0.5 -0.0199999990524 0.5 1597.38881791
-0.323899051953 1.67060385556 0.875 0.86 2.9 3.26 1.966 1.0 -0.0279822331175 0.665654839156 24.2730007797 0.0907865344144 -0.666666666667 300.0 4.0 4.0 -0.00331141634127 0.5 -0.00441583108224 0.5 -0.00348824519913 0.5 -0.00160296397954 0.5 -0.0199999950094 0.5 1593.23787477
-0.324045239975 1.66791199871 0.875 0.9 2.9 3.26 1.966 1.0 -0.0280384600151 0.666114198801 24.2815735063 0.0928761046154 -0.666666666667 300.0 4.0 4.0 -0.00330619624119 0.5 -0.00441598527837 0.5 -0.00349579897104 0.5 -0.00160137631677 0.5 -0.0199999969684 0.5 1588.86376597
-0.324188605133 1.66560276877 0.875 0.94 2.9 3.26 1.966 1.0 -0.0280723008436 0.66622077283 24.2816712796 0.094672767578 -0.666666666667 300.0 4.0 4.0 -0.00331010208919 0.5 -0.00441395647904 0.5 -0.00349518676183 0.5 -0.00159885040486 0.5 -0.0199999821233 0.5 1584.93097811
-0.324289051639 1.66433244067 0.875 0.98 2.9 3.26 1.966 1.0 -0.0281144494447 0.666245155929 24.2763155307 0.0962103848141 -0.666666666667 300.0 4.0 4.0 -0.00331222287716 0.5 -0.00441382912233 0.5 -0.00349819282851 0.5 -0.00159850774033 0.5 -0.0199999542514 0.5 1581.9265252
-0.324397842579 1.66354652291 0.875 1.02 2.9 3.26 1.966 1.0 -0.0281020996186 0.668004246964 24.2629744772 0.0976922347251 -0.666666666667 300.0 4.0 4.0 -0.00332502370538 0.5 -0.00440441530474 0.5 -0.00349233262944 0.5 -0.0015852502018 0.5 -0.0199999998613 0.5 1579.90228317
-0.324483943657 1.66323055788 0.875 1.06 2.9 3.26 1.966 1.0 -0.0281359385854 0.668678541998 24.2501979464 0.0990846413943 -0.666666666667 300.0 4.0 4.0 -0.00333622114052 0.5 -0.00440079798838 0.5 -0.00349000799323 0.5 -0.00158209265807 0.5 -0.0199999231847 0.5 1578.67286891
-0.324555518609 1.6631997977 0.875 1.1 2.9 3.26 1.966 1.0 -0.0281513496094 0.66910035342 24.2385494103 0.100343751849 -0.666666666667 300.0 4.0 4.0 -0.00334641730947 0.5 -0.00439530259153 0.5 -0.00348711933815 0.5 -0.00157420821297 0.5 -0.0199998530458 0.5 1578.00257131
-0.324625176062 1.66346298131 0.875 1.14 2.9 3.26 1.966 1.0 -0.028157138365 0.669419043308 24.2242127523 0.101331434044 -0.666666666667 300.0 4.0 4.0 -0.00336161961536 0.5 -0.00438759706635 0.5 -0.00348148919056 0.5 -0.00157257207915 0.5 -0.0199999285791 0.5 1577.66314175
-0.324693007088 1.66292203919 0.875 1.18 2.9 3.26 1.966 1.0 -0.0281734297486 0.669794770249 24.2135935726 0.102486748606 -0.666666666667 300.0 4.0 4.0 -0.00336974297855 0.5 -0.00438220355737 0.5 -0.00347788247389 0.5 -0.00156891605424 0.5 -0.0199998160334 0.5 1577.43713714
